Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
2003,YR2003,Germany,DEU,82534176,43089.4738197519,836789.978027344
2003,YR2003,Greece,GRC,10928070,32981.3517843691,100220.001220703
2003,YR2003,Greenland,GRL,56765,..,..
2003,YR2003,Hungary,HUN,10129552,22200.1034081041,58189.998626709
2003,YR2003,Iceland,ISL,289521,43095.3568616423,2230.00001907349
2003,YR2003,Ireland,IRL,3996521,53049.1678621127,44090.0001525879
2003,YR2003,Italy,ITA,57313203,43781.2199783421,462200.012207031
2003,YR2003,Latvia,LVA,2287955,16593.9176780452,7590.00015258789
2003,YR2003,Liechtenstein,LIE,34000,..,230.000004172325
2003,YR2003,Lithuania,LTU,3415213,17839.7827376226,11229.9995422363
2003,YR2003,Luxembourg,LUX,451630,104743.000088458,10239.9997711182
2003,YR2003,Monaco,MCO,32316,..,..
2003,YR2003,Netherlands,NLD,16225302,47806.8844286609,170360.000610352
2003,YR2003,Norway,NOR,4564855,58728.1569902155,37169.9981689453
2003,YR2003,Poland,POL,38204570,17324.2161873998,297730.010986328
2003,YR2003,Portugal,PRT,10458821,30422.6020285721,60520.0004577637
2003,YR2003,Romania,ROU,21574326,14417.7199430696,98139.9993896484
2003,YR2003,San Marino,SMR,28601,78286.9016424402,..
2003,YR2003,Slovak Republic,SVK,5373374,17838.4034249237,38330.0018310547
2003,YR2003,Slovenia,SVN,1995733,28805.3851190536,15409.9998474121
2003,YR2003,Spain,ESP,42187645,36729.7697105221,318660.003662109
2003,YR2003,Sweden,SWE,8958229,42678.2841388566,55200.0007629395
2003,YR2003,Switzerland,CHE,7339001,59577.7622087745,44840.0001525879
2003,YR2003,United Kingdom,GBR,59647577,41369.4959277234,543039.978027344
2004,YR2004,Andorra,AND,76933,..,560.000002384186
2004,YR2004,Austria,AUT,8171966,48633.2718157639,75800.0030517578
2004,YR2004,Belgium,BEL,10421137,45540.4669120107,114019.996643066
2004,YR2004,Croatia,HRV,4304600,22849.6528412662,21100.0003814697
2004,YR2004,Czechia,CZE,10197101,28542.2548172745,123440.002441406
2004,YR2004,Denmark,DNK,5404523,50446.5416048985,53729.9995422363
2004,YR2004,Estonia,EST,1362550,23691.1529865284,17020.0004577637
2004,YR2004,Finland,FIN,5228172,43724.9661225981,67680.0003051758
2004,YR2004,France,FRA,62716306,41265.1269211355,377790.008544922
2004,YR2004,Germany,DEU,82516260,43605.2786723109,821070.007324219
2004,YR2004,Greece,GRC,10955141,34564.9112761871,99839.9963378906
2004,YR2004,Greenland,GRL,56911,..,..
2004,YR2004,Hungary,HUN,10107146,23362.8116037033,56349.9984741211
2004,YR2004,Iceland,ISL,292074,46051.74388765,2319.9999332428
2004,YR2004,Ireland,IRL,4070262,55623.8868409015,44689.998626709
2004,YR2004,Italy,ITA,57685327,44118.0366368665,472399.993896484
2004,YR2004,Latvia,LVA,2263122,18165.7494053668,7619.99988555908
2004,YR2004,Liechtenstein,LIE,34300,..,230.000004172325
2004,YR2004,Lithuania,LTU,3377075,19226.4692652314,11909.9998474121
2004,YR2004,Luxembourg,LUX,458095,107634.837198018,11659.9998474121
2004,YR2004,Monaco,MCO,32236,..,..
2004,YR2004,Netherlands,NLD,16281779,48586.7046242077,172119.995117188
2004,YR2004,Norway,NOR,4591910,60699.5665822807,37340.0001525879
2004,YR2004,Poland,POL,38182222,18198.100044371,301850.006103516
2004,YR2004,Portugal,PRT,10483861,30892.8198811263,62130.0010681152
2004,YR2004,Romania,ROU,21451748,16012.1919147676,95349.9984741211
2004,YR2004,San Marino,SMR,29093,80463.8951122995,..
